Date,Brunello_Cucinelli_Price,Christian Dior_Price,Kering_Price,LVMH_Price,Moncler_Price,Salvatore_Ferragamo_Price,Tod's_Price
12/31/2019,31.695,456.45,588.3,412.7,40.206,18.788,41.321
1/2/2020,32.168,463.2,600.9,422.15,40.73,18.85,41.48
1/3/2020,32.109,461.6,600.2,417.5,40.21,18.64,41.46
1/6/2020,31.78,460,592,418.3,40.12,18.485,39.94
1/7/2020,34.049,461.8,595.6,415.75,40.3,18.64,39.94
1/8/2020,34.477,464.2,597.2,422.9,41.37,18.83,40.24
1/9/2020,34.793,465.2,595.3,425.55,41.13,19.235,40.72
1/10/2020,35.061,465,586.4,423.5,40.79,19.115,40.72
1/13/2020,36.008,466.4,595.5,429,40.8,18.83,40.72
1/14/2020,36.32,471.8,595.9,431.5,41.59,18.74,40.66
1/15/2020,36.944,472.2,594,430.9,42.71,18.305,40.64
1/16/2020,37.736,472.6,606.4,434.35,42.71,18.125,40.5
1/17/2020,38.16,478,612.2,439,42.73,18.16,40.42
1/20/2020,38.6,473.8,601.5,434,41.39,18.1,40
1/21/2020,36.94,460.4,584.2,425.7,40.4,17.835,39.96
1/22/2020,36.88,461.2,593.5,422.65,41.51,17.87,39.7
1/23/2020,36.014,448,580,417.65,40.4,17.56,39
1/24/2020,36.472,449.4,567,414.35,40.46,17.55,38.9
1/27/2020,34.826,432.8,550.5,402.05,38.92,16.715,36.88
1/28/2020,34.68,439.829,557.5,406,40.03,17.02,36.82
1/29/2020,34.12,439.2,566.6,407.5,40.37,17.16,36.62
1/30/2020,33.44,430.8,564.6,403.4,39.61,16.925,36.32
1/31/2020,32.88,423.2,551.2,391.2,38.76,16.81,36.44
2/3/2020,32.817,425.8,552.2,397.05,39.38,16.705,36.84
2/4/2020,33.578,436.8,566.4,410.3,39.96,17.105,37.5
2/5/2020,34.224,443.4,575.4,415,40.42,17.13,37.22
2/6/2020,34.48,443.6,571,418.95,39.64,16.915,37.14
2/7/2020,32.78,439.8,564.1,412.4,39.4,16.605,36.64
2/10/2020,33.16,439.4,563.8,415,39.85,16.555,36.56
2/11/2020,33.042,440,562.3,413.7,38.63,16.195,36.2
2/12/2020,33.802,449.2,595.5,426,39.3,16.77,36.64
2/13/2020,34.062,445.4,593.2,421.05,38.68,16.47,36.64
2/14/2020,33.511,442,580,415.75,38.17,16.46,36.7
2/17/2020,33.635,441.808,578.243,414.05,38.3,16.669,37.104
2/18/2020,33.614,433.6,572.2,409.95,37.67,16.55,36.86
2/19/2020,34.939,443.4,585.5,419,39.02,16.67,36.88
2/20/2020,34.234,436.6,569,411.2,38.29,16.455,36.14
2/21/2020,33.14,429.8,563.3,404.9,37.1,15.965,35.46
2/24/2020,31.813,406.6,521,383.7,35.09,14.45,31.5
2/25/2020,31.584,396.2,509.8,374,34.95,14.665,31.98
2/26/2020,29.595,402,521.6,380.25,35.41,14.81,32.18
2/27/2020,28.732,385,498.6,361.25,35.18,14.235,31.8
2/28/2020,30.04,379.6,506,375,35.16,14.165,31.34
3/2/2020,30.065,389.4,508.7,383.25,34.59,13.78,31.02
3/3/2020,31.091,384.4,503.8,374.05,34.35,13.77,30.74
3/4/2020,30.869,392.4,518.2,392,35.19,13.665,30.18
3/5/2020,30.791,375,492.7,368.55,33.95,12.9,29.3
3/6/2020,28.854,362.8,482.7,362.5,33.74,12.585,27.92
3/9/2020,27.194,339.8,445.25,331,30.12,11.905,25.46
